system:index,B1,B2,B3,B4,B5,B6,B7,ClassID,EVI,LSWI,NDTI,NDVI,SATVI,random,.geo
2_0_9,0.12165125,0.10102762,0.06634402,0.038292386,0.0076097585,296.1825,0.0029402962,8,-0.13384125529954247,0.6684356,0.44260076,-0.26808676,-0.3709108368141919,0.1198226466062523,
2_0_10,0.12302989,0.10418334,0.07417296,0.038486753,0.008166068,295.52905,0.0059879073,8,-0.15908605546120808,0.6499218,0.1538904,-0.31676102,-0.3971171678523392,0.1198226466062523,
2_0_11,0.12124466,0.10195212,0.069295496,0.037404746,0.0076567656,295.52905,0.006502396,8,-0.14659912908903147,0.6601638,0.08152811,-0.2988817,-0.3820363915096385,0.1198226466062523,
2_1_0,0.14309925,0.134684,0.12167622,0.08184765,0.013289391,295.09137,0.0067128222,8,-0.13479995985529752,0.72062635,0.32879207,-0.19569482,-0.5058685882364465,0.2465586666842856,
2_1_1,0.14428417,0.13661754,0.12469199,0.08470564,0.013232049,295.09137,0.0069346456,8,-0.13315888152431693,0.7297864,0.31226748,-0.19095893,-0.5136911360862182,0.2465586666842856,
2_1_2,0.14375165,0.13420334,0.12568691,0.07996222,0.013427672,295.09137,0.0087385485,8,-0.15121674798150078,0.7124384,0.21154366,-0.22234325,-0.5143754579037784,0.2465586666842856,
2_1_3,0.1425949,0.13403109,0.12085448,0.08151079,0.013759136,295.09137,0.0066525415,8,-0.13342708347282994,0.7111547,0.3481632,-0.19441919,-0.500604582120161,0.2465586666842856,
2_1_4,0.14229053,0.13345453,0.12295843,0.086883545,0.01370802,295.09137,0.008887149,8,-0.11906607739427207,0.7274519,0.21335845,-0.17191453,-0.5057328097819004,0.2465586666842856,
2_1_5,0.1436842,0.13451238,0.12321354,0.08789534,0.011791989,295.09137,0.008664499,8,-0.11779876635353712,0.7634205,0.152885,-0.16729848,-0.5194813867444696,0.2465586666842856,
2_1_6,0.14313138,0.13451238,0.120628074,0.08118588,0.011610338,295.09137,0.0085282875,8,-0.13480474292177075,0.749767,0.15304177,-0.1954384,-0.5143621178562968,0.2465586666842856,
2_1_7,0.14393687,0.1333559,0.121874124,0.0818357,0.013448533,295.09137,0.010073926,8,-0.13645357784311596,0.7177176,0.14346316,-0.19654635,-0.50450737010463,0.2465586666842856,
2_1_8,0.14404342,0.1333559,0.12638266,0.08841243,0.013167102,295.09137,0.00878865,8,-0.1238618542677459,0.7407528,0.19942164,-0.17677423,-0.5178031036713999,0.2465586666842856,
2_1_9,0.14411154,0.13362831,0.12154044,0.084255,0.0113885645,295.09137,0.009187296,8,-0.1272260834410718,0.76185405,0.10698306,-0.18117718,-0.5180164900927379,0.2465586666842856,
2_1_10,0.14233479,0.1330407,0.12372291,0.0818596,0.015073634,295.09137,0.006876936,8,-0.13831133059584388,0.68898934,0.37341616,-0.20363262,-0.49892102899257906,0.2465586666842856,
2_1_11,0.14313138,0.1330407,0.12269075,0.08801035,0.012988299,295.09137,0.006502396,8,-0.11549823732081219,0.7428025,0.33276922,-0.16459526,-0.5105079695109417,0.2465586666842856,
2_2_0,0.13226141,0.11356312,0.0848876,0.0385868,0.008696941,295.52905,0.0072081164,8,-0.208205099261355,0.6321382,0.09360698,-0.374983,-0.43151756990247353,0.24992011546406978,
2_2_1,0.13412628,0.11692259,0.08377142,0.039359946,0.008693404,295.09137,0.007042783,8,-0.20712707855052453,0.638177,0.10489331,-0.36068368,-0.42772200730981624,0.24992011546406978,
2_2_2,0.13533671,0.11689939,0.0848876,0.040133093,0.008746218,295.09137,0.0055352943,8,-0.20935495487713607,0.6421301,0.22483079,-0.3579768,-0.43145763295316253,0.24992011546406978,
2_2_3,0.13663569,0.115253255,0.08506232,0.039975308,0.0101595605,295.09137,0.008559791,8,-0.21446249054415661,0.59471077,0.08546071,-0.36058754,-0.4204060406532072,0.24992011546406978,
2_2_4,0.1336747,0.11356312,0.08181569,0.039817523,0.008746218,295.09137,0.0059879073,8,-0.19879793607278223,0.6398046,0.1872056,-0.34528536,-0.42063838146874993,0.24992011546406978,
