system:index,B1,B2,B3,B4,B5,B6,B7,ClassID,EVI,HH,HH_asm,HH_contrast,HH_corr,HH_diss,HH_ent,HH_idm,HH_savg,HH_var,LSWI,NDTI,NDVI,SATVI,random,.geo
1_1_1_2_14_2,0.1160205,0.098910235,0.085419275,0.18451497,0.13188824,295.52905,0.066781364,5,0.29960837899393244,-7.3169255,0.10416666666666669,505173.2083333334,0.02601424413943393,540.5833333333333,2.2821740957339185,6.929168983021775E-4,-14472.5,269287.53125000745,0.16632804,0.32771432,0.3671105,0.15620251460261236,0.02846141917666234,
1_1_1_2_14_3,0.11769823,0.09560799,0.088490754,0.17792939,0.11847572,295.52905,0.06056619,5,0.27065308686245937,-7.117819,0.10416666666666669,412646.3125,-0.04218546254930493,476.9375,2.2821740957339185,0.012972565512381089,-14535.520833333334,211922.34678819776,0.20058246,0.3234412,0.33570522,0.10449162231099328,0.02846141917666234,
1_1_1_2_14_4,0.11237995,0.09463181,0.08197511,0.19453695,0.12549335,295.96518,0.06328437,5,0.33360041012650765,-6.8214574,0.10416666666666669,517399.8958333333,0.19470487391984706,597.7291666666666,2.2821740957339185,1.3481108393108336E-4,-13842.562499999998,316708.008246528,0.21574084,0.3295356,0.40707752,0.15121241980215064,0.02846141917666234,
1_1_1_2_14_5,0.11648595,0.09703093,0.08688857,0.17734143,0.12918983,295.96518,0.06380301,5,0.27409022758515655,-7.4599648,0.10416666666666669,369720.83333333326,0.13408017804874195,468.66666666666663,2.2821740957339185,2.655091230479629E-4,-14432.958333333332,192384.10503472388,0.15708543,0.3388044,0.34232625,0.14294529442740372,0.02846141917666234,
1_1_1_2_14_6,0.117899895,0.095319144,0.09177365,0.18027267,0.11850655,295.52905,0.066568635,5,0.2613163962368691,-7.6882334,0.10416666666666669,315940.4166666666,-0.15295315532396922,470.41666666666663,2.2821740957339185,2.633757446474335E-4,-15085.041666666666,144991.3732638955,0.2067283,0.28063142,0.32530862,0.09190532508265267,0.02846141917666234,
1_1_1_2_14_7,0.11456877,0.09594466,0.08912695,0.20683317,0.11113024,295.3102,0.065998465,5,0.33350995684936313,-8.0833235,0.10416666666666669,554268.4166666667,-0.22278340936514057,641.7083333333334,2.2821740957339185,3.414245270932467E-5,-15195.333333333332,220437.91753473133,0.30098724,0.2547965,0.39770973,0.07819137534758254,0.02846141917666234,
1_1_1_2_14_8,0.11235926,0.09220353,0.078606315,0.2130795,0.12173785,295.96518,0.057329368,5,0.39925630275309376,-5.9201202,0.10416666666666669,559663.2083333333,0.02479816171116972,600.8333333333334,2.2821740957339185,1.4466430696814364E-4,-12957.375,283058.078125,0.27281037,0.35968885,0.46102065,0.15385129657849753,0.02846141917666234,
1_1_1_2_14_9,0.11521006,0.09704896,0.08449872,0.19422987,0.14210159,296.61487,0.067412995,5,0.32769389437886476,-7.109209,0.10416666666666669,479918.1875,0.1081687327671564,571.1458333333333,2.2821740957339185,1.5229680572363838E-5,-13824.729166666664,265410.62282986566,0.1549908,0.35648397,0.3936846,0.18806339899519922,0.02846141917666234,
1_1_1_2_14_10,0.11017556,0.094224244,0.085247,0.20297717,0.14274171,295.96518,0.067039825,5,0.3313943512109196,-7.1847997,0.10416666666666669,495007.45833333326,0.14864994868915915,549.0,2.2821740957339185,1.860997505796888E-5,-14780.125,277746.82204862125,0.17423248,0.3608606,0.40846735,0.18694838648138154,0.02846141917666234,
1_1_1_2_14_11,0.11254427,0.09540735,0.08348954,0.21138133,0.125969,295.52905,0.06510918,5,0.36825158726214063,-8.419956,0.10416666666666669,801853.2083333333,-0.17012290645871508,735.7083333333334,2.2821740957339185,2.941118321961766E-5,-15062.708333333332,333622.46006944776,0.25318587,0.3185074,0.43372136,0.1465285180627643,0.02846141917666234,
