system:index,ClassID,HH,HH_asm,HH_contrast,HH_corr,HH_diss,HH_ent,HH_idm,HH_savg,HH_var,random,.geo
2_4_3,8,-19.112642,0.10416666666666669,323066.8541666666,-0.08950559170437242,428.8541666666667,2.2821740957339185,2.558723821518211E-4,-37101.729166666664,151935.57074652612,0.24115797510175507,
2_4_4,8,-18.156189,0.10416666666666669,629596.8958333334,-0.11935250047302334,610.3125,2.2821740957339185,2.577923380907258E-5,-35651.5625,283672.8832465261,0.24115797510175507,
2_4_5,8,-17.878447,0.10416666666666669,409054.4583333333,-0.08903770922216915,481.0833333333333,2.2821740957339185,0.0125369942719758,-35771.625,199143.9218749851,0.24115797510175507,
2_4_6,8,-18.261314,0.10416666666666669,240944.45833333334,0.08633260011922744,382.91666666666663,2.2821740957339185,0.012660448059206117,-36317.083333333336,135046.49305552244,0.24115797510175507,
2_4_7,8,-18.341213,0.10416666666666669,385623.56249999994,0.009456559611824282,470.35416666666663,2.2821740957339185,4.4370367944568807E-4,-36498.520833333336,193988.50477436185,0.24115797510175507,
2_4_8,8,-18.228214,0.10416666666666669,298005.5625,-0.2250057527413324,434.6875,2.2821740957339185,3.6069133049757026E-5,-36205.14583333333,123561.48914928734,0.24115797510175507,
2_4_9,8,-18.070908,0.10416666666666669,1544462.5416666665,-0.18140472917189987,702.8333333333333,2.2821740957339185,0.012526998060361384,-35855.33333333333,713650.8784722239,0.24115797510175507,
2_4_10,8,-17.880182,0.10416666666666669,2601381.875,-0.14852686564055695,989.125,2.2821740957339185,0.012522232075407485,-35444.20833333333,1103754.3246527612,0.24115797510175507,
2_4_11,8,-18.152899,0.10416666666666669,1772741.5416666665,-0.2749714268623463,879.25,2.2821740957339185,2.9557753330124127E-4,-35532.708333333336,734854.6024306118,0.24115797510175507,
2_4_12,8,-18.749428,0.10416666666666669,438692.8541666666,-0.18552116425638848,560.9791666666666,2.2821740957339185,2.0813549531261715E-5,-36446.104166666664,182498.60894098878,0.24115797510175507,
2_4_13,8,-18.406687,0.10416666666666669,2463895.1666666665,-0.03464741433716935,1091.25,2.2821740957339185,8.719251682737157E-6,-35564.0,1217762.757812485,0.24115797510175507,
2_5_0,8,-17.801846,0.10416666666666669,477958.75,-0.2832189517367739,580.5833333333333,2.2821740957339185,0.006260655774828547,-36317.916666666664,184860.4435764253,0.12349582755281019,
2_5_1,8,-18.625164,0.10416666666666669,372653.4791666666,0.08931701120434345,513.3541666666665,2.2821740957339185,0.006294812773384555,-36511.89583333333,194883.0568576157,0.12349582755281019,
2_5_2,8,-18.236416,0.10416666666666669,265905.6666666666,-0.12203323394156973,432.0833333333333,2.2821740957339185,3.8666217939156765E-4,-36959.333333333336,115201.50086802244,0.12349582755281019,
2_5_3,8,-18.358648,0.10416666666666669,251068.85416666663,-0.24734490483744592,428.68749999999994,2.2821740957339185,3.524808558510316E-4,-37131.8125,98257.31032985449,0.12349582755281019,
2_5_4,8,-18.444244,0.10416666666666669,487551.24999999994,-0.05374874120103973,590.375,2.2821740957339185,0.0062573604153399074,-36935.166666666664,234944.33940970898,0.12349582755281019,
2_5_5,8,-17.804726,0.10416666666666669,466572.62499999994,-0.0173624912438914,565.5416666666666,2.2821740957339185,0.006447495400255031,-36921.5,227342.66059024632,0.12349582755281019,
2_5_6,8,-18.925282,0.10416666666666669,283160.81249999994,-0.10468936556264224,427.85416666666663,2.2821740957339185,5.499965415099829E-4,-36963.47916666667,131411.0099826455,0.12349582755281019,
2_5_7,8,-18.252407,0.10416666666666669,162745.3958333333,-0.2410839346463461,324.22916666666663,2.2821740957339185,4.3457270235300164E-4,-37070.97916666667,63456.38498264551,0.12349582755281019,
2_5_8,8,-19.248358,0.10416666666666669,469833.5208333334,-0.06119322382470749,581.1875,2.2821740957339185,2.484428324712707E-5,-37754.270833333336,232235.43706595898,0.12349582755281019,
2_5_9,8,-18.943424,0.10416666666666669,848043.8958333335,-0.14810228033199702,753.4375,2.2821740957339185,2.0570221713308613E-4,-37658.645833333336,381646.7495659739,0.12349582755281019,
2_5_10,8,-18.559614,0.10416666666666669,900159.2708333333,-0.06678995773798041,734.8541666666666,2.2821740957339185,3.08189652121782E-4,-37654.0625,425913.11588540673,0.12349582755281019,
2_5_11,8,-18.579731,0.10416666666666669,551813.7083333334,-0.07094404679715186,540.9583333333334,2.2821740957339185,1.8487548911273123E-4,-37581.79166666667,262322.32118056715,0.12349582755281019,
2_5_12,8,-19.381247,0.10416666666666669,573687.375,-0.056913966741527024,625.8333333333333,2.2821740957339185,2.3911057241284492E-5,-37841.25,275705.85069443285,0.12349582755281019,
2_5_13,8,-18.474545,0.10416666666666669,946111.6249999998,-0.15412425128437776,820.6249999999999,2.2821740957339185,1.354994922918474E-5,-38017.16666666667,426097.4513888955,0.12349582755281019,
2_5_14,8,-20.35582,0.10416666666666669,1066272.7708333333,-0.2118364778635189,831.4791666666666,2.2821740957339185,1.226584095954797E-4,-38321.1875,437443.8242187351,0.12349582755281019,
2_5_15,8,-18.983044,0.10416666666666669,724744.5000000001,-0.15406115516263885,671.1666666666666,2.2821740957339185,1.4761016542385702E-4,-38146.375,311063.0824653357,0.12349582755281019,
2_7_0,8,-18.254131,0.10416666666666669,755207.7291666667,0.004061412654108476,656.3125,2.2821740957339185,2.5920534615734696E-4,-36618.60416666667,373893.37803822756,0.37561794915920044,
2_7_1,8,-18.08377,0.10416666666666669,150810.875,0.058197334145181676,330.16666666666674,2.2821740957339185,2.6905897742197856E-4,-35945.5,81932.2812500298,0.37561794915920044,
2_7_2,8,-17.8466,0.10416666666666669,346219.9583333333,-0.2727754229261746,503.66666666666663,2.2821740957339185,1.586370066003286E-5,-35844.91666666667,143789.7986110896,0.37561794915920044,
2_7_3,8,-18.267038,0.10416666666666669,1137968.4791666665,-0.03237878110010224,763.5208333333333,2.2821740957339185,2.633932844496809E-4,-37202.6875,562380.9301215261,0.37561794915920044,
2_7_4,8,-18.386171,0.10416666666666669,152991.9583333333,0.10434205880346888,325.3333333333333,2.2821740957339185,2.706900315414315E-4,-36081.083333333336,85310.24652780592,0.37561794915920044,
2_7_5,8,-17.550074,0.10416666666666669,209151.7708333333,-0.16508089294852651,412.8125,2.2821740957339185,1.415103954587001E-5,-35636.02083333333,90119.95269103348,0.37561794915920044,
2_7_6,8,-18.179764,0.10416666666666669,1823356.7291666665,0.17228865559940565,1075.8958333333333,2.2821740957339185,1.209688527722787E-5,-37706.0625,1113158.2686632276,0.37561794915920044,
2_7_7,8,-17.809351,0.10416666666666669,664685.2708333334,-0.08673678116782338,571.4791666666666,2.2821740957339185,2.550949881075481E-5,-36004.89583333333,325100.030815959,0.37561794915920044,
2_7_8,8,-17.673182,0.10416666666666669,156851.0833333333,-0.3183661619091185,336.66666666666663,2.2821740957339185,3.288332147326668E-5,-35402.5,63310.69444447756,0.37561794915920044,
2_7_9,8,-19.718645,0.10416666666666669,2195905.041666667,0.22452427951324722,1229.9166666666665,2.2821740957339185,3.975276478492956E-6,-38555.45833333333,1449186.469618097,0.37561794915920044,
2_7_10,8,-17.572794,0.10416666666666669,1450707.5,0.08232052946747928,859.6666666666667,2.2821740957339185,6.424925263063596E-5,-36213.416666666664,810559.1258680224,0.37561794915920044,
2_7_11,8,-17.370441,0.10416666666666669,93474.79166666666,-0.283621340772415,266.91666666666663,2.2821740957339185,8.234410638462006E-5,-35213.95833333333,35147.96788197756,0.37561794915920044,
2_10_0,8,-19.1226,0.10416666666666669,872007.1666666666,0.08168940970451122,746.0416666666666,2.2821740957339185,3.698500769012511E-5,-39364.041666666664,457147.573784709,0.6885684897547704,
2_10_1,8,-20.606699,0.10416666666666669,719541.8125,-0.025817851490180066,676.5625,2.2821740957339185,4.043092624538683E-5,-40117.3125,352848.1367187202,0.6885684897547704,
2_10_2,8,-20.229532,0.10416666666666669,412604.0,-0.23799660680983747,543.6666666666666,2.2821740957339185,1.1735375841675546E-5,-40427.54166666667,162187.9904513657,0.6885684897547704,
2_10_3,8,-20.452345,0.10416666666666669,242386.4791666667,-0.07870065703320393,409.89583333333326,2.2821740957339185,4.0199540406418276E-4,-40184.520833333336,108460.86762152612,0.6885684897547704,
2_10_4,8,-19.346527,0.10416666666666669,1546457.375,-0.15559056362309326,999.8333333333333,2.2821740957339185,2.8732603145154706E-5,-38159.083333333336,700025.4861110747,0.6885684897547704,
2_10_5,8,-19.390537,0.10416666666666669,1507220.625,0.28262423404558185,997.5,2.2821740957339185,1.12992401408586E-4,-38919.875,933445.9531249851,0.6885684897547704,
2_10_6,8,-20.744896,0.10416666666666669,900459.1458333333,0.17548389494413286,728.3958333333333,2.2821740957339185,3.3556499385254177E-4,-40065.1875,483738.54817707837,0.6885684897547704,
2_10_7,8,-19.932795,0.10416666666666669,605763.4166666666,-0.09041960024585709,635.125,2.2821740957339185,4.205300990884692E-4,-40136.916666666664,277950.2013889104,0.6885684897547704,
2_10_8,8,-17.232489,0.10416666666666669,1586399.5624999998,-0.12219166801456323,1025.9791666666665,2.2821740957339185,2.8247425958625054E-5,-37172.979166666664,705257.6401909739,0.6885684897547704,
2_10_9,8,-18.365242,0.10416666666666669,1689924.770833333,0.06556011696017508,1110.9374999999998,2.2821740957339185,1.1136983166741629E-4,-37549.72916666667,839717.0308159739,0.6885684897547704,
2_10_10,8,-19.363913,0.10416666666666669,1237783.8958333333,0.25243135259767085,937.3958333333334,2.2821740957339185,3.332452786777522E-4,-39113.979166666664,776860.2842882276,0.6885684897547704,
2_10_11,8,-20.760939,0.10416666666666669,840901.7916666665,-0.23787939590631374,798.4166666666666,2.2821740957339185,2.4922274918965325E-4,-39814.66666666667,343866.33680556715,0.6885684897547704,
2_10_12,8,-19.008554,0.10416666666666669,743544.625,-0.08723885719384979,730.5416666666665,2.2821740957339185,7.485335152170688E-6,-36845.083333333336,347517.4965278059,0.6885684897547704,
2_10_13,8,-17.90208,0.10416666666666669,1000200.125,-0.22423755831391634,893.6666666666666,2.2821740957339185,6.253615432507379E-6,-37122.166666666664,434502.77430555224,0.6885684897547704,
2_10_14,8,-19.251644,0.10416666666666669,1361343.2916666665,0.19255160251187126,1047.0833333333333,2.2821740957339185,5.181550421325717E-6,-38709.666666666664,886797.1284722537,0.6885684897547704,
2_10_15,8,-20.029306,0.10416666666666669,1261483.25,-0.385228613886234,961.9583333333333,2.2821740957339185,8.126250857129785E-6,-39919.375,440872.74131947756,0.6885684897547704,
2_12_0,8,-24.01414,0.10416666666666669,1406500.0625,0.1338541245128878,978.1875,2.2821740957339185,1.6735728417513463E-5,-47588.60416666667,833419.0047742724,0.2732495493375534,
2_12_1,8,-23.137465,0.10416666666666669,496497.4583333333,-0.38959784062367087,597.2083333333333,2.2821740957339185,3.097859465018238E-5,-46415.125,178579.86979162693,0.2732495493375534,
2_12_2,8,-23.565723,0.10416666666666669,869199.8541666665,-0.06283675040883652,744.1458333333333,2.2821740957339185,2.7395013129239765E-5,-46860.3125,406180.3572048247,0.2732495493375534,
2_12_3,8,-24.875578,0.10416666666666669,1637758.0,-0.4090148736241864,1088.4583333333333,2.2821740957339185,1.4683953716543119E-5,-47505.04166666666,566196.0355902314,0.2732495493375534,
