system:index,AVE,B10,B2,B3,B4,B5,B6,B7,ClassID,DIF,EVI,HH,HH_asm,HH_contrast,HH_corr,HH_diss,HH_ent,HH_idm,HH_savg,HH_var,HV,HV_asm,HV_contrast,HV_corr,HV_diss,HV_ent,HV_idm,HV_savg,HV_var,LSWI,NDI,NDTI,NDVI,NLI,RT1,RT2,SATVI,random,.geo
1_1_1_2_30_3,1291.5,301.7928,0.12006168,0.10849276,0.10567555,0.27075016,0.24219033,0.1645811,5,1577,0.4109028740111478,-16.241709,0.10416666666666669,1652188.2499999998,-0.16418622505316258,1109.5833333333333,2.2821740957339185,5.412979311160535E-5,-32522.874999999996,754953.3142361641,-27.788134,0.10416666666666669,1652188.2499999998,-0.16418622505316258,1109.5833333333333,2.2821740957339185,5.412979311160535E-5,-32522.874999999996,754953.3142361641,0.055678647,0.6105304,0.1907932,0.43853173,405.0484,4.135189,0.24182692,0.3102097985734969,0.023439943771392246,
1_1_1_2_30_4,1506.0,302.23013,0.126612,0.11663228,0.12014413,0.27090424,0.29395998,0.18974459,5,1876,0.36164637746275785,-17.634691,0.10416666666666669,1614360.2499999998,-0.13897336513040118,1122.0416666666667,2.2821740957339185,4.510737359603771E-6,-32991.41666666667,710144.4826389104,-27.03251,0.10416666666666669,1614360.2499999998,-0.13897336513040118,1122.0416666666667,2.2821740957339185,4.510737359603771E-6,-32991.41666666667,710144.4826389104,-0.040816415,0.62284195,0.21545255,0.38552806,460.88712,4.302817,0.23240589,0.33982829801510833,0.023439943771392246,
1_1_1_2_30_5,1403.0,302.78433,0.12483685,0.11024464,0.10375567,0.26677638,0.24235028,0.19271758,5,1288,0.4276361309858479,-15.872674,0.10416666666666669,1985101.6875,-0.26339071574947215,1222.6458333333333,2.2821740957339185,6.931681911159274E-6,-33602.4375,818448.5638020933,-26.38201,0.10416666666666669,1985101.6875,-0.26339071574947215,1222.6458333333333,2.2821740957339185,6.931681911159274E-6,-33602.4375,818448.5638020933,0.047976475,0.45901638,0.11408036,0.43996388,553.6967,2.6969697,0.37078652,0.3118076883434874,0.023439943771392246,
1_1_1_2_31_0,1503.5,302.06555,0.12836471,0.11625768,0.12156482,0.264224,0.22711691,0.123619184,5,1303,0.3459653596044684,-15.933716,0.10416666666666669,360674.9583333333,-0.14357996701902617,490.6666666666667,2.2821740957339185,0.00379459670432193,-32252.541666666668,170879.88368056715,-25.671877,0.10416666666666669,360674.9583333333,-0.14357996701902617,490.6666666666667,2.2821740957339185,0.00379459670432193,-32252.541666666668,170879.88368056715,0.075522065,0.43332225,0.2950872,0.36978567,610.5953,2.5293427,0.39535964,0.2442336328925744,0.14120777915633997,
1_1_1_2_31_1,1421.0,302.35428,0.12951481,0.12012178,0.12856248,0.2779305,0.33371347,0.19489387,5,1378,0.3464186898642094,-16.216738,0.10416666666666669,322222.8958333333,-0.0887121043741384,467.8958333333333,2.2821740957339185,0.0036930658358255847,-32010.729166666664,154230.61762157828,-25.886728,0.10416666666666669,322222.8958333333,-0.0887121043741384,467.8958333333333,2.2821740957339185,0.0036930658358255847,-32010.729166666664,154230.61762157828,-0.09120171,0.4848698,0.26261383,0.36745533,543.46234,2.8825138,0.34691942,0.3657897070947647,0.14120777915633997,
1_1_1_2_31_2,1421.0,302.4921,0.1301225,0.12052268,0.1314578,0.2692656,0.3606321,0.22161514,5,1378,0.31838228823418946,-16.049906,0.10416666666666669,627028.9791666666,0.20705672809611386,669.4791666666666,2.2821740957339185,9.888057209341784E-6,-32435.9375,382116.7981771305,-26.303816,0.10416666666666669,627028.9791666666,0.20705672809611386,669.4791666666666,2.2821740957339185,9.888057209341784E-6,-32435.9375,382116.7981771305,-0.14504975,0.4848698,0.23875932,0.34389752,543.46234,2.8825138,0.34691942,0.38287677341139503,0.14120777915633997,
1_1_1_2_31_3,1254.5,302.11276,0.12069847,0.11246121,0.116283864,0.25465453,0.22838116,0.1227064,5,1247,0.3303603398560804,-15.708137,0.10416666666666669,363769.37499999994,-0.28220647492720874,506.91666666666663,2.2821740957339185,0.003792333107830197,-32327.166666666668,143728.1180555895,-25.148956,0.10416666666666669,363769.37499999994,-0.28220647492720874,506.91666666666663,2.2821740957339185,0.003792333107830197,-32327.166666666668,143728.1180555895,0.054392193,0.49701077,0.3009926,0.3730287,472.3069,2.9762282,0.33599573,0.2618364150030147,0.14120777915633997,
1_1_1_2_31_4,1487.5,302.31754,0.1287298,0.11666979,0.12319155,0.26355487,0.31555668,0.17938134,5,1473,0.3383127055246643,-15.929738,0.10416666666666669,256866.8958333333,0.059025896722954684,419.10416666666663,2.2821740957339185,0.0036947694901475273,-32346.229166666668,138437.56727431715,-26.834513,0.10416666666666669,256866.8958333333,0.059025896722954684,419.10416666666663,2.2821740957339185,0.0036947694901475273,-32346.229166666668,138437.56727431715,-0.089795835,0.49512604,0.27513614,0.36293373,561.41986,2.9613848,0.33767986,0.36074045551990375,0.14120777915633997,
1_1_1_2_31_5,1487.5,302.33362,0.12986624,0.12008858,0.13060904,0.27094847,0.3580736,0.21831027,5,1473,0.3246776617499445,-16.972254,0.10416666666666669,1267948.625,0.04909225608185695,905.9166666666665,2.2821740957339185,9.209980171290574E-6,-33475.75,695757.9340278357,-27.58178,0.10416666666666669,1267948.625,0.04909225608185695,905.9166666666665,2.2821740957339185,9.209980171290574E-6,-33475.75,695757.9340278357,-0.13850886,0.49512604,0.24248306,0.34948775,561.41986,2.9613848,0.33767986,0.3828583989820706,0.14120777915633997,
1_1_1_2_31_6,1200.0,302.40485,0.12835836,0.11497332,0.119997084,0.25335762,0.2958563,0.1643373,5,668,0.32988724861417984,-16.025656,0.10416666666666669,281930.3333333333,-0.08920535126618472,447.29166666666663,2.2821740957339185,3.193866503534158E-5,-32577.916666666664,125915.99565979093,-27.222958,0.10416666666666669,281930.3333333333,-0.08920535126618472,447.29166666666663,2.2821740957339185,3.193866503534158E-5,-32577.916666666664,125915.99565979093,-0.07738092,0.27833334,0.28579056,0.35719526,553.5183,1.7713625,0.56453717,0.3469881674809311,0.14120777915633997,
