system:index,AVE,ClassID,DIF,HH,HH_asm,HH_contrast,HH_corr,HH_diss,HH_ent,HH_idm,HH_savg,HH_var,HV,HV_asm,HV_contrast,HV_corr,HV_diss,HV_ent,HV_idm,HV_savg,HV_var,NDI,NLI,RT1,RT2,random,.geo
1_2_49_11,1433.0,7,1546,-17.588459,0.10416666666666669,2271550.5624999995,0.02763318799105087,1375.8124999999998,2.2821740957339185,2.5541280426976275E-5,-33846.02083333333,1212120.5724826455,-29.05001,0.10416666666666669,2271550.5624999995,0.02763318799105087,1375.8124999999998,2.2821740957339185,2.5541280426976275E-5,-33846.02083333333,1212120.5724826455,0.53942776,508.01117,3.3424242,0.29918405,0.15514413244389103,
1_2_49_12,2815.5,7,3799,-15.829965,0.10416666666666669,2866889.9375,-0.0648143367191848,1489.270833333333,2.2821740957339185,2.5760104649982277E-6,-33714.5625,1340140.034288168,-27.892424,0.10416666666666669,2866889.9375,-0.0648143367191848,1489.270833333333,2.2821740957339185,2.5760104649982277E-6,-33714.5625,1340140.034288168,0.6746581,766.9934,5.14738,0.19427359,0.15514413244389103,
1_2_49_13,1467.5,7,1745,-18.446978,0.10416666666666669,2153655.625,-0.25002358660456975,1315.375,2.2821740957339185,2.658938519349897E-5,-34929.45833333333,852520.269097209,-28.71738,0.10416666666666669,2153655.625,-0.25002358660456975,1315.375,2.2821740957339185,2.658938519349897E-5,-34929.45833333333,852520.269097209,0.5945485,474.3782,3.932773,0.2542735,0.15514413244389103,
2_1_0,576.5,8,535,-24.702291,0.10416666666666669,782493.875,-0.40526947039839756,669.2499999999999,2.2821740957339185,0.0037114898476917797,-50375.33333333333,280245.77430552244,-34.131737,0.10416666666666669,782493.875,-0.40526947039839756,669.2499999999999,2.2821740957339185,0.0037114898476917797,-50375.33333333333,280245.77430552244,0.46400693,226.18907,2.7313917,0.36611375,0.1887489548592306,
2_1_1,489.5,8,335,-24.920351,0.10416666666666669,488010.625,-0.12180033555425894,564.7083333333333,2.2821740957339185,4.886149709134161E-5,-50563.12499999999,219085.35850691795,-33.479862,0.10416666666666669,488010.625,-0.12180033555425894,564.7083333333333,2.2821740957339185,4.886149709134161E-5,-50563.12499999999,219085.35850691795,0.3421859,216.09193,2.0403726,0.49010655,0.1887489548592306,
2_1_2,552.0,8,454,-25.748278,0.10416666666666669,421185.125,0.04475060258520605,545.2083333333333,2.2821740957339185,3.0861148151242164E-5,-50553.45833333333,220429.8454861343,-31.744436,0.10416666666666669,421185.125,0.04475060258520605,545.2083333333333,2.2821740957339185,3.0861148151242164E-5,-50553.45833333333,220429.8454861343,0.41123188,229.32518,2.396923,0.41720155,0.1887489548592306,
2_1_3,378.0,8,314,-24.52656,0.10416666666666669,631077.8541666667,-0.09190524103428956,645.8958333333333,2.2821740957339185,3.0840727245059085E-5,-50172.0625,264641.2148437798,-33.544254,0.10416666666666669,631077.8541666667,-0.09190524103428956,645.8958333333333,2.2821740957339185,3.0840727245059085E-5,-50172.0625,264641.2148437798,0.4153439,156.39551,2.4208145,0.41308412,0.1887489548592306,
2_1_4,661.0,8,686,-25.132296,0.10416666666666669,325148.0,-0.23443135238394278,434.9166666666667,2.2821740957339185,0.003702276456857234,-50199.74999999999,125538.60069438815,-33.91273,0.10416666666666669,325148.0,-0.23443135238394278,434.9166666666667,2.2821740957339185,0.003702276456857234,-50199.74999999999,125538.60069438815,0.51891077,241.5068,3.1572328,0.31673306,0.1887489548592306,
2_1_5,684.5,8,869,-25.884989,0.10416666666666669,469578.8333333334,-0.13305958196524148,583.3333333333333,2.2821740957339185,2.378750399342699E-5,-50372.45833333333,213131.15711799264,-32.088577,0.10416666666666669,469578.8333333334,-0.13305958196524148,583.3333333333333,2.2821740957339185,2.378750399342699E-5,-50372.45833333333,213131.15711799264,0.6347699,204.34624,4.476,0.22341377,0.1887489548592306,
2_1_6,577.5,8,581,-24.849232,0.10416666666666669,785158.0833333335,-0.08531853351658605,725.5416666666666,2.2821740957339185,2.0738945643682748E-5,-50507.54166666667,331964.2065971494,-33.370735,0.10416666666666669,785158.0833333335,-0.08531853351658605,725.5416666666666,2.2821740957339185,2.0738945643682748E-5,-50507.54166666667,331964.2065971494,0.5030303,215.68484,3.0243902,0.33064517,0.1887489548592306,
2_1_7,509.0,8,522,-25.004776,0.10416666666666669,987110.0000000001,0.0631515766950403,814.1666666666667,2.2821740957339185,1.8467824090252104E-5,-50855.75,519360.02083328366,-33.173023,0.10416666666666669,987110.0000000001,0.0631515766950403,814.1666666666667,2.2821740957339185,1.8467824090252104E-5,-50855.75,519360.02083328366,0.5127701,187.5835,3.1048386,0.32207793,0.1887489548592306,
2_1_8,927.5,8,1259,-25.240023,0.10416666666666669,235708.8958333333,-0.1602265489589208,389.9375,2.2821740957339185,3.0234851229697422E-5,-50091.47916666667,105670.16623264551,-33.71468,0.10416666666666669,235708.8958333333,-0.1602265489589208,389.9375,2.2821740957339185,3.0234851229697422E-5,-50091.47916666667,105670.16623264551,0.6787062,250.12723,5.224832,0.1913937,0.1887489548592306,
2_1_9,749.0,8,862,-24.552391,0.10416666666666669,313079.9791666666,-0.07217160802274275,474.56249999999994,2.2821740957339185,1.7551941504250947E-5,-50171.0625,152911.5759548843,-33.688072,0.10416666666666669,313079.9791666666,-0.07217160802274275,474.56249999999994,2.2821740957339185,1.7551941504250947E-5,-50171.0625,152911.5759548843,0.5754339,250.49399,3.710692,0.26949152,0.1887489548592306,
