system:index,B10,B2,B3,B4,B5,B6,B7,ClassID,EVI,LSWI,NDTI,NDVI,SATVI,random,.geo
1_1_1_1_1_2_24_1,297.94125,0.09736784,0.08042714,0.05577013,0.28302047,0.17481235,0.06850769,3,0.6402265907914897,0.23634854,0.4368923,0.67076933,0.38377347545463647,0.19636053928855568,
1_1_1_1_1_2_24_2,297.89233,0.09906504,0.081713565,0.055949323,0.29590565,0.17513713,0.06781149,3,0.6750861185445395,0.25638545,0.44176272,0.68197507,0.383783259712084,0.19636053928855568,
1_1_1_1_1_2_24_3,297.97107,0.09795867,0.08053765,0.059542865,0.2886483,0.18842195,0.07562076,3,0.6285709818992804,0.21008721,0.4272081,0.65798753,0.3934134162282124,0.19636053928855568,
1_1_1_1_1_2_24_4,297.96152,0.0972563,0.08172195,0.057167284,0.28891546,0.18046355,0.07143273,3,0.6419639056802944,0.23105401,0.43284014,0.66963226,0.38865585193989965,0.19636053928855568,
1_1_1_1_1_2_24_5,297.92334,0.09901299,0.08145982,0.05585087,0.29987538,0.17545748,0.070203274,3,0.6836315389748175,0.261749,0.42845348,0.6859896,0.38444210716384863,0.19636053928855568,
1_1_1_1_1_2_26_0,297.8327,0.10349996,0.08096322,0.056539033,0.29574224,0.18332633,0.071965374,3,0.6963891787294975,0.23465516,0.43621063,0.679012,0.3969333060706366,0.6032637985255952,
1_1_1_1_1_2_26_1,297.95306,0.101879716,0.08075853,0.057012647,0.30654687,0.17717847,0.0686705,3,0.7052775581179478,0.26744184,0.4413603,0.6863642,0.3831833834658395,0.6032637985255952,
1_1_1_1_1_2_26_2,297.75153,0.10051595,0.07973247,0.058380686,0.31286156,0.1787092,0.06916817,3,0.6996798960191802,0.2729055,0.4419162,0.6854847,0.38031372432342525,0.6032637985255952,
1_1_1_1_1_2_26_3,297.97803,0.10224455,0.08140528,0.058760993,0.29749596,0.18825126,0.073133364,3,0.6757457312805026,0.22490032,0.4404157,0.6701202,0.3968282409875054,0.6032637985255952,
1_1_1_1_1_2_26_4,297.7539,0.100703426,0.08014626,0.055946976,0.3001474,0.1822715,0.06995292,3,0.6933151048758139,0.24434349,0.44531205,0.68577445,0.3977860416601756,0.6032637985255952,
1_1_1_1_1_2_26_5,297.72046,0.10019455,0.08068151,0.05747512,0.3044433,0.18165495,0.06996064,3,0.6876770546265791,0.25259987,0.44390854,0.68238634,0.38998004441964074,0.6032637985255952,
1_1_1_1_1_2_27_0,297.31906,0.09939535,0.08118146,0.058208328,0.27654585,0.17531154,0.07254367,3,0.6200440513441274,0.22404042,0.41462862,0.6522324,0.3734889399806815,0.6927315455617454,
